Prey ,557, Predator ,380, Grass ,2200
Prey ,544, Predator ,367, Grass ,1852
Prey ,600, Predator ,366, Grass ,1802
Prey ,666, Predator ,372, Grass ,1744
Prey ,722, Predator ,367, Grass ,1692
Prey ,771, Predator ,361, Grass ,1637
Prey ,835, Predator ,356, Grass ,1582
Prey ,890, Predator ,358, Grass ,1516
Prey ,977, Predator ,346, Grass ,1470
Prey ,1060, Predator ,351, Grass ,1395
Prey ,1109, Predator ,352, Grass ,1344
Prey ,1145, Predator ,347, Grass ,1271
Prey ,1187, Predator ,342, Grass ,1228
Prey ,1217, Predator ,340, Grass ,1167
Prey ,1266, Predator ,337, Grass ,1103
Prey ,1255, Predator ,332, Grass ,1044
Prey ,1301, Predator ,334, Grass ,999
Prey ,1323, Predator ,338, Grass ,956
Prey ,1338, Predator ,344, Grass ,902
Prey ,1300, Predator ,348, Grass ,870
Prey ,1286, Predator ,361, Grass ,831
Prey ,1255, Predator ,354, Grass ,788
Prey ,1244, Predator ,359, Grass ,749
Prey ,1233, Predator ,364, Grass ,705
Prey ,1214, Predator ,366, Grass ,659
Prey ,1192, Predator ,372, Grass ,636
Prey ,1157, Predator ,377, Grass ,601
Prey ,1097, Predator ,383, Grass ,567
Prey ,1075, Predator ,389, Grass ,547
Prey ,1039, Predator ,403, Grass ,512
Prey ,996, Predator ,406, Grass ,492
Prey ,964, Predator ,410, Grass ,469
Prey ,915, Predator ,418, Grass ,444
Prey ,873, Predator ,419, Grass ,425
Prey ,835, Predator ,423, Grass ,417
Prey ,819, Predator ,431, Grass ,403
Prey ,767, Predator ,437, Grass ,392
Prey ,715, Predator ,443, Grass ,381
Prey ,657, Predator ,447, Grass ,366
Prey ,609, Predator ,454, Grass ,705
Prey ,571, Predator ,463, Grass ,691
Prey ,534, Predator ,468, Grass ,728
Prey ,496, Predator ,474, Grass ,756
Prey ,483, Predator ,475, Grass ,793
Prey ,458, Predator ,474, Grass ,828
Prey ,442, Predator ,481, Grass ,868
